ID;Название;Цена;Наличие;;
Ошибка:510;<b>АКРИЛОВАЯ СИСТЕМА</b>;;;;
495;Brilliant TC (для укрепления натурального ногтя +основа под лак) 1/2oz.15ml;65;0;;
491;Diamond coat (верхнее, защитное акриловое покрытие, придает блеск) 15 ml;58,5;0;;
494;No Lines (средство для коррекции ногтей)1/2oz.15ml;78;0;;
2124;Акриловая краска НФ с носиком, 15 г;16,5;29;;
761;Акриловая пудра  цветная Amoress, 7.5;40;0;;
496;Верхнее покрытие для акриловых ногтей UV Shining TC (1/2oz.15ml);82;0;;
489;Микрогель Kodi для укрепление натурального ногтя, 15ml;75;5;;
2269;Набор акриловых пудр Lady Victory, 12 шт.;133;1;;
487;Обезжириватель Nail fresher «Kodi» (1/2oz.15ml);71;17;;
812;Пробный набор для акрилового наращивания Amoresse;152,8;0;;
492;Силлер  коди Nail Sealer (ультрафеолетовое покрытие) 15 ml;75;2;;
497;Ультрабонд KODI (безкислотный праймер) 1/2oz.15ml;75;28;;
490;Цветной концентрат в мономер (Red dye) 15 ml;75;0;;
486;﻿Праймер «Kodi» (10ml);54;2;;
Ошибка:510;<b>-- ликвидатор линии коррекции</b>;;;;
23;Ликвидатор линии коррекции ASP;167;0;;
905;Масло в ручке EzFlow;28,6;0;;
Ошибка:510;<b>-- мономеры (акрил)</b>;;;;
1073;Мономер Kodi (100 ml.) прозрачный;149;3;;
481;Мономер «Kodi» (100 ml.) (фиолетовый);149;0;;
484;Мономер «Kodi» 18oz (504ml)  (фиолетовый);654;1;;
485;Мономер «Kodi» 18oz (504ml.) (прозрачный);654;0;;
483;Мономер «Kodi» 9oz (252 ml.) (прозрачный – особый эффект при дизайне);372;0;;
482;Мономер «Kodi» 9oz (252 ml.) (фиолетовый – особый эффект при моделирования);372;1;;
1206;Мономер прозрачный, 1 мл. (розлив);1,94;0;;
480;"﻿Мономер фиолетовый ""Kodi"" 1 мл (розлив)";1,94;0;;
Ошибка:510;<b>-- акригель</b>;;;;
2057;Акриловая пудра AcryGel белая , 11 грамм;75;0;;
2056;Акриловая пудра AcryGel прозрачный , 11 грамм;75;0;;
124;Акриловая пудра AcryGel, укрепляющая - 45г - белая;253;0;;
123;Акриловая пудра AcryGel, укрепляющая - 45г - прозрачная;253;0;;
125;Акриловая пудра AcryGel, укрепляющая - 45г - розовая;253;1;;
127;УФ Гель AcryGel - 30г - белый;302;0;;
126;УФ Гель AcryGel - 30г - прозрачный;302;0;;
128;УФ Гель AcryGel - 30г - розовый;302;0;;
Ошибка:510;<b>-- обезжириватели/ растворители (акрил)</b>;;;;
803;Обезжириватель, бонд Premium, 15 мл.;79,3;0;;
Ошибка:510;<b>-- праймеры для акрила</b>;;;;
802;Праймер кислотный Premium, 15 мл.;125,3;0;;
Ошибка:510;<b>-- пудра акриловая</b>;;;;
2141;Акрил LV A-Mix-4;18;0;;
811;Акриловая пудра камуфлирующая High Definition, 7.5 г.;42,3;0;;
762;Акриловый пигмент-столбик, 10 цветов.;97,5;0;;
465;Базовый акрил Kodi (pink-розовый) 0.76oz (22г.);96;0;;
467;Базовый акрил Kodi (белый) 0.76oz (22г.);96;0;;
1699;Базовый акрил kodi белый (White), 60 г.;200;0;;
1106;Базовый акрил Kodi прозрачный Clear, на развес, 40 г.;144,2;1;;
1070;Базовый акрил Kodi прозрачный сlear на развес, 22 г.;82,4;2;;
46;Базовый акрил Kodi розовый pink, на развес, 22 г.;82,4;2;;
47;Базовый акрил Kodi розовый pink, на развес, 40 г;144,2;3;;
466;Базовый акрил «Kodi» (clear-прозрачный) 0.76oz (22г.);96;1;;
469;Базовый акрил «Kodi» (clear-прозрачный) 1.43oz (40г.);187;1;;
468;Базовый акрил «Kodi» (pink-розовый) 1.43oz (40г.);187;1;;
1252;Базовый акрил белый White (на развес), 22 г.;82,4;1;;
1253;Базовый акрил белый White (на развес), 40 г.;144,2;1;;
478;Базовый акрил«Kodi»  (clear-прозрачный)  8oz (224г.);596;0;;
479;Базовый акрил«Kodi»  (pink-розовый)  8oz (224г.);596;0;;
474;Базовый акрил«Kodi»  (white-белый)  8oz (224г.);596;0;;
470;Базовый акрил«Kodi»  (white-белый) 1.43oz (40г.);187;1;;
1071;Камуфлирующий акрил Kodi masque rose+, на развес, 22 г.;90;0;;
1072;Камуфлирующий акрил Kodi masque rose+, на развес, 40 г.;144,2;0;;
475;Матирующая акриловая пудра «Kodi» (персик) 0.76oz (224г.);638;0;;
471;Матирующая акриловая пудра «Kodi» (персик) 0.76oz (22г.);115;0;;
476;Матирующая акриловая пудра «Kodi» (роза)  0.76oz (224г.);638;0;;
472;Матирующая акриловая пудра «Kodi» (роза)  0.76oz (22г.);115;0;;
477;Матирующая акриловая пудра «Kodi» (роза+) 0.76oz (224г.);638;0;;
473;Матирующая акриловая пудра «Kodi» (роза+) 0.76oz (22г.);115;2;;
Ошибка:510;<b>-- пудры акрил. для диз-на</b>;;;0;
1492;Акрил Ezflow, 21 г.;133,1;0;159.72;
1572;Акрил белый на развес для лепки, 4 г.;28;0;33.6;
507;Акриловая пудра Kodi цветная, 5 г.;46;0;55.2;
762;Акриловый пигмент-столбик, 10 цветов.;97,5;0;117;
1724;Набор акрилов 12 цветов Global Fashion, 1шт.;72,8;0;87.36;
509;Набор цветной акриловой пудры с глиттером “Kodi”(12шт.);453;0;543.6;
508;Набор цветной акриловой пудры “Kodi” (12 шт.);453;0;543.6;
510;Набор цветной акриловой пудры “Kodi”(24шт.);819;0;982.8;
Ошибка:510;<b>-- силлеры (акрил)</b>;;;0;
79;UV gel QF2 УФ финиш-гель Kodi, силлер ;143;4;;
113;Силлер Bonding All Season, 15г (для акрила);111,4;0;133.68;
Ошибка:510;<b>БИО-ГЕЛИ</b>;;;0;
246;Обезжириватель-дезинфектор  Cherish - 240 мл;190,3;0;228.36;
245;Обезжириватель-дезинфектор Cherish - 120 мл;49;0;58.8;
231;силлер для УФ-гелей ECO, 15 мл;81,7;0;98.04;
247;Средство для снятия геля - 120 мл;97,6;0;117.12;
248;Средство для снятия геля - 240 мл;190,3;0;228.36;
243;Средство для снятия липкости Cherish Gel Wipe - 120 мл;97,6;0;117.12;
244;Средство для снятия липкости Cherish Gel Wipe - 240 мл;99;0;118.8;
1431;Топ гель Эко, 15 мл.;194,2;1;;
233;УФ-биогель Cherish базовый - 30 г;128;0;153.6;
240;УФ-биогель Cherish моделирующий Clear, прозрачный - 15 г;99;0;118.8;
241;УФ-биогель Cherish моделирующий Clear, прозрачный - 30 г;128;0;153.6;
242;УФ-биогель Cherish моделирующий Clear, прозрачный - 60 г;199;0;238.8;
235;УФ-биогель Cherish моделирующий Light Pink, насыщенный розовый - 15 г;99;-1;118.8;
236;УФ-биогель Cherish моделирующий Light Pink, насыщенный розовый - 30 г;128;0;153.6;
238;УФ-биогель Cherish моделирующий Satin Pink, камуфлирующий розовый - 30 г;241,6;0;289.92;
239;УФ-биогель Cherish моделирующий Soft White, белый - 15 г;156,2;0;187.44;
237;УФ-биогель моделирующий Light Pink, насыщенный розовый - 60 г;199;0;238.8;
186;УФ-гель ECO Soak Off, белый - 28 мл;291;0;349.2;
183;УФ-гель ECO Soak Off, прозрачный - 28 мл;291;0;349.2;
184;УФ-гель ECO Soak Off, прозрачный - 56 мл;316;0;379.2;
181;УФ-гель ECO Soak Off, розовый - 28 мл;291;0;349.2;
182;УФ-гель ECO Soak Off, розовый - 56 мл;316;0;379.2;
979;УФ-гель EKO Soak Off 1183, базовый - 3,75 мл.;47,6;0;57.12;
179;УФ-гель базовый ECO Soak Off, прозрачный - 56 мл;316;0;379.2;
234;УФ-гель завершающий Cherish, финиш для био-геля - 15 г;99;0;118.8;
188;"УФ-гель цветной ECO Soak Off, ""Северное сияние"" - 56 мл";316;0;379.2;
224;УФ-гель цветной ECO Soak Off, белый перламутр - 56 мл;316;0;379.2;
220;УФ-гель цветной ECO Soak Off, бордово-коричневый перламутровый - 56 мл;316;0;379.2;
190;УФ-гель цветной ECO Soak Off, бордовый матовый - 56 мл;316;0;379.2;
204;УФ-гель цветной ECO Soak Off, коралловый - 56 мл;316;0;379.2;
216;УФ-гель цветной ECO Soak Off, коричневый перламутровый - 56 мл;316;0;379.2;
222;УФ-гель цветной ECO Soak Off, красный глитерный - 56 мл;316;0;379.2;
200;УФ-гель цветной ECO Soak Off, красный матовый - 56 мл;316;0;379.2;
218;УФ-гель цветной ECO Soak Off, красный перламутровый - 56 мл;316;0;379.2;
202;УФ-гель цветной ECO Soak Off, малиновый - 56 мл;316;0;379.2;
196;УФ-гель цветной ECO Soak Off, персиковый розовый - 56 мл;316;0;379.2;
228;УФ-гель цветной ECO Soak Off, розовый матовый - 56 мл;316;0;379.2;
226;УФ-гель цветной ECO Soak Off, светло-бежевый матовый - 56 мл;316;0;379.2;
198;УФ-гель цветной ECO Soak Off, светло-фиолетовый - 56 мл;316;0;379.2;
194;УФ-гель цветной ECO Soak Off, телесный розовый - 56 мл;316;0;379.2;
206;УФ-гель цветной ECO Soak Off, телесный с радужными блестками - 56 мл;316;0;379.2;
230;УФ-гель цветной ECO Soak Off, фиолетовый глитерный - 56 мл;316;0;379.2;
192;УФ-гель цветной ECO Soak Off, черный - 56 мл;316;0;379.2;
214;УФ-гель цветной ECO Soak Off, шоколадный матовый - 56 мл;316;0;379.2;
212;УФ-гель цветной ECO Soak Off, яркий морковный - 56 мл;316;0;379.2;
187;"УФ-гель цветной ECO Soak Off, № 1182 ""Северное сияние"" - 3,75 мл";64,5;1;77.4;
189;УФ-гель цветной ECO Soak Off, № 1184, бордовый матовый - 3,75 мл;64,5;4;77.4;
193;УФ-гель цветной ECO Soak Off, № 1186, телесный розовый - 3,75 мл;64,5;2;77.4;
195;УФ-гель цветной ECO Soak Off, № 1187, персиковый розовый - 3,75 мл;64,5;1;77.4;
199;УФ-гель цветной ECO Soak Off, № 1189, красный матовый - 3,75 мл;64,5;4;77.4;
201;УФ-гель цветной ECO Soak Off, № 1207, малиновый - 3,75 мл;64,5;4;77.4;
207;УФ-гель цветной ECO Soak Off, № 1212, серебристый радужный - 3,75 мл;64,5;2;77.4;
208;УФ-гель цветной ECO Soak Off, № 1212, серебристый радужный - 56 мл;316;0;379.2;
